"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2020025523","","","","","","","","","","","","","","","","","","","","1"
"2020063155","N","Y","U","Y","U","U","1","Y","U","00600","N","","","","","","","","N","1"
"2020077899","N","N","U","N","N","N","0","N","N","00000","N","","","","","","","","N","2"
"2020090137","","","","","","","","","","","","","","","","","","","","2"
"2020058598","N","N","U","Y","N","N","0","Y","Y","01300","N","","","","","","","","N","1"
"2020048290","N","N","N","Y","N","N","0","N","N","99999","N","","","","","","","","N","1"
"2020072801","Y","Y","Y","Y","Y","Y","3","Y","N","01300","N","","","","","","","","N","1"
"2020080264","Y","Y","Y","Y","Y","Y","3","Y","Y","00096","N","","","","","","","","N","1"
"2020031712","","","","","","","","","","","","","","","","","","","","2"
"2020049350","N","Y","Y","Y","Y","Y","1","Y","Y","00250","N","","","","","","","","N","1"
"2020059460","U","Y","U","Y","N","N","0","Y","N","01450","N","","","","","","","","N","1"
"2020059914","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2020045436","N","N","Y","Y","Y","Y","1","Y","N","01000","N","","","","","","","","N","1"
"2020063748","U","N","N","N","N","U","9","Y","N","99999","N","","","","","","","","N","1"
"2020051680","N","U","U","U","U","U","1","U","U","09999","N","","","","","","","","N","1"
"2020107481","N","U","U","Y","Y","Y","1","Y","Y","00900","N","","","","","","","","N","1"
"2020059915","Y","Y","N","Y","N","N","0","Y","N","01584","N","","","","","","","","N","2"
"2020054735","N","Y","Y","Y","U","N","1","Y","N","00998","N","","","","","","","","N","1"
"2020038783","N","Y","U","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","2"
"2020036108","N","U","Y","U","N","N","0","Y","N","99999","N","","","","","","","","N","1"
"2020077605","N","U","U","Y","Y","Y","1","Y","N","00599","N","","","","","","","","N","1"
"2020049741","","","","","","","","","","","","","","","","","","","","1"
"2020049325","N","N","Y","Y","Y","Y","1","N","N","00600","N","","","","","","","","N","1"
"2020050208","Y","Y","Y","N","N","N","0","Y","N","01584","Y","N","N","N","N","0","N","N","N","1"
"2020047936","Y","Y","U","Y","N","N","0","Y","U","01200","N","","","","","","","","N","1"
"2020052286","N","Y","Y","Y","Y","Y","3","Y","N","01200","N","","","","","","","","N","2"
"2020054697","Y","N","U","N","N","N","0","Y","N","00900","N","","","","","","","","N","1"
"2020054744","Y","N","Y","Y","N","N","0","N","N","01200","Y","N","Y","Y","Y","1","N","N","N","1"
"2020096994","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","2"
"2020040459","","","","","","","","","","","","","","","","","","","","1"
