"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020051192","","0","PA","XLP7384","2020","7","2"
"2020057448","","0","PA","PT-360C6","2020","7","2"
"2021002108","","0","WI","77543X","2021","7","1"
"2020012064","","0","NY","BA78981","2020","3","1"
"2020106992","","0","ME","231591H","2021","7","1"
"2020106086","","0","PA","XLF9455","2021","3","1"
"2020012837","","0","PA","PT9412W","2020","7","2"
"2020087339","","0","ON","J4710T","2020","7","1"
"2020033672","","0","IN","P286167","2020","7","1"
"2020049057","","0","PA","PT81209","2020","7","1"
"2020053379","","0","OK","AJ9611","2018","7","1"
"2020053379","","0","OK","AJ9602","2020","7","2"
"2020030005","","0","PA","XCW1317","","3","1"
"2020013028","","0","TN","017634T","2020","7","2"
"2020035111","","0","PA","XM82083","2020","3","1"
"2020020773","","0","PA","PT6930E","2020","7","2"
"2020064569","","0","ZZ","UNKNOWN","","7","1"
"2020017455","","0","PA","PT768G6","2020","6","2"
"2020076662","","0","PA","PT917J0","","7","3"
"2020044605","","0","","","","1","1"
"2020069682","","0","PA","XGM2771","2024","5","1"
"2020069682","","0","PA","XHN8355","2021","7","3"
"2020104966","","0","PA","","","1","1"
"2020067063","","0","PA","LCW4648","2020","1","2"
"2020093687","","0","PA","XJX9166","2021","7","2"
"2020022951","","0","OK","3846KS","2020","7","1"
"2020009344","","0","PA","PT224H9","2020","7","1"
"2020007973","","0","IL","594938ST","2021","7","2"
"2020076271","","0","PA","XHF7016","2025","3","1"
"2020047742","","0","VA","VA 850851TL","2021","7","2"
"2020081509","","0","PA","XGK1281","2021","3","1"
"2020054584","","0","DE","RT490","2020","5","2"
"2020101005","","0","OR","HV14775","2017","7","2"
"2020105170","","0","IN","P988748","2021","7","1"
"2020055671","","0","PA","999","2020","8","2"
"2020020987","","0","OH","TSC1360","2020","7","1"
"2020090808","","0","PA","XLX2429","2020","8","2"
"2020091826","","0","PA","","","6","2"
"2020055682","","0","CA","4NP4872","2020","7","1"
"2020068855","","0","CA","4PT8992","2017","7","1"
"2020024054","","0","IN","P616407","2020","7","2"
"2020038193","","0","PA","XKK8915","2020","6","1"
"2020007209","","0","PA","XLC5294","2020","3","2"
"2020041697","","0","MD","932563G","2021","3","1"
"2020031756","","0","ID","TM1131","2099","7","1"
"2020037030","","0","PA","XKL-3922","2020","3","1"
"2020072230","","0","ME","227148B","2018","7","1"
"2020070984","","0","PA","XGP8864","2021","3","2"
"2020089019","","0","PA","PT601J9","2023","6","2"
"2020101062","","0","PA","XLV6997","2020","3","2"
"2020057590","","0","NC","AM23769","2020","7","1"
"2020100056","","0","PA","PT462H1","2021","8","1"
"2020095120","","0","ON","M5730F","2020","7","2"
"2020027516","","0","ME","2848164","2020","7","2"
"2020003277","","0","IA","FE0944","2020","7","2"
"2020010543","","0","PA","XKB1841","2022","3","2"
"2020060915","","0","OK","9796LE","2021","7","2"
"2020090973","","0","PA","PT5609Z","2020","7","2"
"2020059258","","0","ME","3221623","2020","7","2"
"2020102624","","0","PA","XKV8015","2022","3","2"
"2020082288","","0","NJ","TWH37U","2021","3","1"
"2020081186","","0","PA","XHV9070","2023","3","2"
"2020097165","","0","PA","PT502E6","2020","7","1"
"2020098654","","0","ID","3016TF","2099","7","2"
"2020030466","","0","IA","DF0100","2021","7","2"
"2020101376","","0","TN","47747","2021","6","1"
"2020090494","","0","PA","PT521H9","2021","3","1"
"2020045818","","0","PA","PT2526W","2020","7","1"
"2020004663","","0","MI","D761083","2020","3","1"
"2020041416","","0","IN","P146955","2020","7","1"
"2020081147","","0","PA","XJF3279","2019","3","2"
"2020102539","","0","PA","XT92738","2021","7","2"
"2020063002","","0","PA","","","8","1"
"2020064114","","0","ME","244997D","2024","7","1"
"2020106692","","0","IA","TB7505","2020","6","2"
"2020089449","","0","NJ","TVX65R","2024","6","1"
"2020031589","","0","ME","B878938","2021","7","2"
"2020087935","","0","ME","3019976","2021","7","1"
"2020109610","","0","ME","231529H","2023","7","1"
"2021002827","","0","PA","PT1999S","2020","7","1"
"2021002827","","0","ON","K7994V","2020","7","4"
"2020075406","","0","PA","XLT9925","","8","2"
"2020079461","","0","PA","XLB4283","2021","3","2"
"2020076616","","0","PA","XLP5829","2024","7","3"
"2020037885","","0","MN","31595TM","9999","7","1"
"2020019150","","0","IN","P477033","2020","7","1"
"2020106935","","0","TN","101815T","2021","7","1"
"2020107987","","0","ME","2498438","2024","6","2"
"2020079223","","0","PA","XMC3720","2020","3","1"
"2020075958","","0","OH","SQG9006","2020","3","1"
"2020091213","","0","PA","PT922B5","2020","7","2"
"2020009140","","0","TX","116B769","2020","7","1"
"2020073323","","0","","","","9","1"
"2020005490","","0","IL","696014ST","2020","7","2"
"2020011009","","0","PA","PT710F0","2019","6","1"
"2020110205","","0","IN","P566240","2021","7","1"
"2021004641","","0","OH","TSC2954","2050","7","2"
"2020017955","","0","ID","TM783","2021","7","1"
"2020105564","","0","IN","P953189","2021","7","3"
"2020035441","","0","NJ","TFT73P","1999","7","2"
"2020055297","","0","ME","2097155","2020","7","1"
"2020033616","","0","IL","544641ST","2020","7","2"
"2020097204","","0","ZZ","","","6","1"
"2020083066","","0","NY","CA46991","2021","5","1"
"2020048462","","0","PA","PENNDOT","2020","8","2"
"2020008127","","0","PA","PT0638X","2020","7","2"
"2020059223","","0","IN","117228","2017","7","1"
"2020013606","","0","PA","","","2","3"
"2020028450","","0","ME","2944821","2015","7","1"
"2020063402","","0","PA","XLT8569","2021","3","2"
"2020028939","","0","PA","XLW3638","2020","3","1"
"2020063374","","0","NY","BN84686","2019","3","2"
"2020098592","","1","TN","U766134","2099","7","2"
"2020084163","","0","PA","999999999999","2020","7","2"
"2020085091","","0","IN","P854693","2020","7","2"
"2020080489","","0","TN","U635162","2094","7","2"
"2020005343","","0","ME","2379148","2020","6","1"
"2020019460","","0","IN","P276295","","7","2"
"2020028847","","0","PA","PT812C8","9999","6","1"
"2020034177","","0","PA","PT101F4","2020","6","3"
"2020035309","","0","PA","461E2","2099","7","1"
"2020110325","","0","PA","PT1844W","2021","2","1"
"2020027486","","0","NY","BR65575","2020","7","2"
"2020078673","","0","PA","PT3036S","2021","7","1"
"2020034618","","0","TN","U811111","2099","7","1"
